plot_id,recall,precision,f1,gt_num,detected_num
1,0.55952380952381,0.673352435530086,0.611183355006502,420,349
2,0.468493150684932,0.608540925266904,0.529411764705882,365,281
3,0.572289156626506,0.574018126888218,0.57315233785822,332,331
4,0.632183908045977,0.46218487394958,0.533980582524272,261,357
5,0.711538461538462,0.419263456090652,0.527629233511586,208,353
6,0.575862068965517,0.543973941368078,0.559463986599665,290,307
7,0.544117647058824,0.581151832460733,0.562025316455696,408,382
8,0.539589442815249,0.575,0.556732223903177,341,320
9,0.466230936819172,0.660493827160494,0.54661558109834,459,324
10,0.445945945945946,0.673469387755102,0.536585365853659,518,343
,0.551577452802439,0.577144880646985,0.5536779747517,,
